date,company,bag_status,flight
2025-01-01,flydubai,Выдача до 30 минут,FZ 987 
2025-01-01,flydubai,Выдача до 30 минут,FZ 969 
2025-01-01,Turkish Airlines,Выдача до 30 минут,TK 413 
2025-01-01,Ютэйр,Выдача до 30 минут,ЮТ 808 
2025-01-01,Победа,Выдача до 30 минут,ДР 856 
2025-01-01,SCAT Airlines,Выдача до 30 минут,DV 815 
2025-01-01,SCAT Airlines,Выдача до 30 минут,DV 813 
2025-01-01,Победа,Выдача до 30 минут,ДР 794 
2025-01-01,Ютэйр,Некорректно проставлены отметки,ЮТ 396 
2025-01-01,Turkish Airlines,Выдача до 30 минут,TK 421 
2025-01-01,Pegasus,Выдача до 30 минут,PC 386 
2025-01-01,Pegasus,Выдача до 30 минут,PC 1576 
2025-01-01,Ютэйр,Выдача до 30 минут,ЮТ 1400 
2025-01-01,Pegasus,Выдача до 30 минут,PC 1521 
2025-01-01,flydubai,Выдача до 30 минут,FZ 975 
2025-01-01,flydubai,Выдача до 30 минут,FZ 967 
2025-01-01,Nesma Airlines,Выдача до 30 минут,NE 600 
2025-01-01,AJET,Выдача до 30 минут,VF 587 
2025-01-01,Turkish Airlines,Выдача до 30 минут,TK 419 
2025-01-01,Победа,Выдача до 30 минут,ДР 192B
2025-01-01,flydubai,Выдача до 30 минут,FZ 965 
2025-01-01,Победа,Некорректно проставлены отметки,ДР 204 
2025-01-01,Победа,Выдача до 30 минут,ДР 420 
2025-01-01,Россия,Выдача до 30 минут,ФВ 6025 
2025-01-01,Победа,Выдача до 30 минут,ДР 422 
2025-01-01,Победа,Выдача до 30 минут,ДР 404 
2025-01-01,Победа,Выдача до 30 минут,ДР 200 
2025-01-01,Россия,Выдача до 30 минут,ФВ 6007 
2025-01-01,Победа,Выдача до 30 минут,ДР 114 
2025-01-01,Победа,Выдача до 30 минут,ДР 112 
2025-01-01,flydubai,Выдача до 30 минут,FZ 989 
2025-01-01,Россия,Выдача до 30 минут,ФВ 6009 
2025-01-01,GEORGIAN AIRWAYS,Выдача до 30 минут,ЖГ 936 
2025-01-01,FLYONE Armenia,Выдача до 30 минут,УР 904 
2025-01-01,Shirak Avia,Выдача до 30 минут,ЮБГ 509 
2025-01-01,Pegasus,Выдача до 30 минут,PC 1580 
2025-01-01,Ютэйр,Выдача до 30 минут,ЮТ 810B
2025-01-01,Turkish Airlines,Выдача до 30 минут,TK 417 
2025-01-01,Россия,Выдача до 30 минут,ФВ 6027 
2025-01-01,Белавиа,Выдача до 30 минут,В2 981 
2025-01-01,Победа,Выдача до 30 минут,ДР 208 
2025-01-01,Победа,Выдача до 30 минут,ДР 466 
2025-01-01,Белавиа,Выдача до 30 минут,В2 979 
2025-01-01,Россия,Выдача до 30 минут,ФВ 6917 
2025-01-01,Победа,Выдача до 30 минут,ДР 196 
2025-01-01,Россия,Выдача до 30 минут,ФВ 6175 
2025-01-01,Победа,Выдача до 30 минут,ДР 284 
2025-01-01,Победа,Выдача до 30 минут,ДР 836 
2025-01-01,Победа,Выдача до 30 минут,PBD 738 
2025-01-01,Победа,Выдача до 30 минут,PBD 860 
2025-01-01,Победа,Выдача до 30 минут,ДР 468 
2025-01-01,Победа,Выдача до 30 минут,ДР 168 
2025-01-01,Россия,Выдача до 30 минут,ФВ 6013 
2025-01-01,Азимут,Выдача до 30 минут,А4 7010 
2025-01-01,Ютэйр,Выдача до 30 минут,ЮТ 296 
2025-01-01,Ютэйр,Выдача до 30 минут,ЮТ 250 
2025-01-01,Turkish Airlines,Выдача до 30 минут,TK 415 
2025-01-01,Азимут,Выдача до 30 минут,А4 7138 
2025-01-01,Победа,Выдача до 30 минут,ДР 754 
2025-01-01,Россия,Выдача до 30 минут,ФВ 6187 
