date,company,bag_status,flight
2026-07-01,Turkish Airlines,Выдача от 30 до 40 минут,TK 419 
2026-07-01,Победа,Выдача до 30 минут,ДР 408 
2026-07-01,GEORGIAN AIRWAYS,Выдача до 30 минут,ЖГ 936 
2026-07-01,Turkish Airlines,Выдача до 30 минут,TK 3012 
2026-07-01,Turkish Airlines,Выдача до 30 минут,TK 3070 
2026-07-01,Turkish Airlines,Выдача более 40 минут,TK 413 
2026-07-01,Алроса,Выдача до 30 минут,ЯМ 597 
2026-07-01,Turkish Airlines,Выдача до 30 минут,TK 407 
2026-07-01,Turkish Airlines,Выдача до 30 минут,TK 1231 
2026-07-01,GEORGIAN AIRWAYS,Выдача до 30 минут,AZO 7008 
2026-07-01,Вологодское АП,Не определено,ВГ 2390 
2026-07-01,Nesma Airlines,Выдача до 30 минут,NE 600 
2026-07-01,Ютэйр,Выдача от 30 до 40 минут,ЮТ 802 
2026-07-01,Ютэйр,Выдача до 30 минут,ЮТ 276 
2026-07-01,Победа,Выдача до 30 минут,ДР 160 
2026-07-01,GEORGIAN AIRWAYS,Выдача до 30 минут,ЖГ 926 
2026-07-01,Победа,Выдача до 30 минут,PBD 840 
2026-07-01,Азимут,Выдача до 30 минут,А4 7010 
2026-07-01,FLYONE Armenia,Выдача до 30 минут,3F 325 
2026-07-01,Ютэйр,Выдача до 30 минут,ЮТ 464 
2026-07-01,Ютэйр,Выдача до 30 минут,ЮТ 576B
2026-07-01,Ютэйр,Выдача до 30 минут,УТА 6316 
2026-07-01,Turkish Airlines,Выдача от 30 до 40 минут,TK 417 
2026-07-01,Победа,Выдача до 30 минут,ДР 158 
2026-07-01,Россия,Выдача до 30 минут,ФВ 6025 
2026-07-01,Pegasus,Выдача до 30 минут,PC 388 
2026-07-01,Алроса,Выдача до 30 минут,ЯМ 543 
2026-07-01,Ютэйр,Выдача до 30 минут,ЮТ 364 
2026-07-01,flydubai,Выдача от 30 до 40 минут,FZ 989 
2026-07-01,Россия,Выдача до 30 минут,ФВ 6031 
2026-07-01,Turkish Airlines,Выдача до 30 минут,TK 3164 
2026-07-01,Ютэйр,Выдача до 30 минут,ЮТ 398 
2026-07-01,АЗУР эйр,Выдача до 30 минут,AZV 3002 
2026-07-01,Победа,Выдача до 30 минут,ДР 114 
2026-07-01,Россия,Выдача до 30 минут,ФВ 6177 
2026-07-01,Aero Nomad,Выдача от 30 до 40 минут,КГ 503 
2026-07-01,Победа,Выдача до 30 минут,ДР 466 
2026-07-01,Ютэйр,Выдача до 30 минут,ЮТ 784 
2026-07-01,Россия,Выдача до 30 минут,ФВ 6179 
2026-07-01,Победа,Выдача до 30 минут,ДР 210 
2026-07-01,Ютэйр,Выдача до 30 минут,ЮТ 374 
2026-07-01,Победа,Выдача до 30 минут,ДР 422 
2026-07-01,Победа,Выдача до 30 минут,ДР 968 
2026-07-01,Pegasus,Выдача до 30 минут,PC 1580 
2026-07-01,Победа,Выдача до 30 минут,ДР 262 
2026-07-01,Turkish Airlines,Выдача до 30 минут,TK 211 
2026-07-01,Turkish Airlines,Выдача до 30 минут,TK 411 
2026-07-01,Победа,Выдача до 30 минут,PBD 736 
2026-07-01,Ютэйр,Выдача до 30 минут,ЮТ 358 
2026-07-01,Turkish Airlines,Выдача до 30 минут,TK 3046 
2026-07-01,AZAL,Выдача до 30 минут,J2 805 
2026-07-01,Россия,Выдача до 30 минут,ФВ 6185 
2026-07-01,Россия,Выдача до 30 минут,ФВ 6169 
2026-07-01,Победа,Некорректно проставлены отметки,ДР 206 
2026-07-01,UZBEKISTAN AIRWAYS,Выдача до 30 минут,ХИ 605 
2026-07-01,UZBEKISTAN AIRWAYS,Выдача до 30 минут,ХИ 9627 
2026-07-01,UZBEKISTAN AIRWAYS,Выдача до 30 минут,ХИ 9619 
2026-07-01,АЗУР эйр,Выдача до 30 минут,AZV 3008 
2026-07-01,Ютэйр,Выдача до 30 минут,ЮТ 296 
2026-07-01,Ютэйр,Выдача до 30 минут,ЮТ 334 
2026-07-01,Ютэйр,Выдача до 30 минут,ЮТ 810 
2026-07-01,Победа,Некорректно проставлены отметки,PBD 860 
